,smiles,cas,iupac,,new smiles,new cas,new iupac
57,C1=C[NH+]=CN=C1,289-95-2,pyrimidine,T,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium
58,C1=C[NH+]=CC=N1,290-37-9,pyrazine,T,C1=CN=CC=[NH+]1,-,pyrazin-1-ium
59,C1CC2=NCCC[NH+]2C1,3001-72-7,"2,3,4,6,7,8-hexahydropyrrolo[1,2-a]pyrimidine",T,C1CC2=NCCC[NH+]2C1,-,"3,4,5,6,7,8-hexahydro-2H-pyrrolo[1,2-a]pyrimidin-5-ium"
60,C1CCC2=NCCC[NH+]2CC1,6674-22-2,"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine",T,C1CCC2=NCCC[NH+]2CC1,-,"3,4,5,6,7,8,9,10-octahydro-2H-pyrimido[1,2-a]azepin-5-ium"
61,CN(C)C(=N)[NH+](C)C,80-70-6,"1,1,3,3-tetramethylguanidine",T,C[NH+](C)C(=N)N(C)C,-,"(N,N-dimethylcarbamimidoyl)-dimethylazanium"
62,C1CNC2=NCCC[NH+]2C1,5807-14-7,"3,4,6,7,8,9-hexahydro-2H-pyrimido[1,2-a]pyrimidine",T,C1CNC2=NCCC[NH+]2C1,-,"2,3,4,5,6,7,8,9-octahydropyrimido[1,2-a]pyrimidin-5-ium"
63,CN1CCCN2C1=[NH+]CCC2,84030-20-6,"1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",T,CN1CCC[NH+]2C1=NCCC2,-,"1-methyl-3,4,5,6,7,8-hexahydro-2H-pyrimido[1,2-a]pyrimidin-5-ium"
64,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)[NH+],102-06-7,"1,2-diphenylguanidine",T,C1=CC=C(C=C1)NC(=[NH+]C2=CC=CC=C2)N,-,[amino(anilino)methylidene]-phenylazanium
65,CN(C)P(=N)(N(C)C)[NH+](C)C,49778-01-0,N-[bis(dimethylamino)phosphinimyl]-N-methylmethanamine,T,CN(C)[P+](N)(N(C)C)N(C)C,-,amino-tris(dimethylamino)phosphanium
66,CC(C)(C)N=P(N(C)C)(N(C)C)[NH+](C)C,81675-81-2,N-[tert-butylimino-bis(dimethylamino)-λ5-phosphanyl]-N-methylmethanamine,T,CC(C)(C)N[P+](N(C)C)(N(C)C)N(C)C,-,(tert-butylamino)-tris(dimethylamino)phosphanium
67,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)[NH+]3CCCC3,161118-67-8,tert-butylimino(tripyrrolidin-1-yl)-Œª5-phosphane,T,CC(C)(C)N[P+](N1CCCC1)(N2CCCC2)N3CCCC3,-,(tert-butylamino)-tripyrrolidin-1-ylphosphanium
68,CN(C)P(=NC1=CC=CC=C1)(N(C)C)[NH+](C)C,35589-04-9,N-[bis(dimethylamino)-phenylimino-Œª5-phosphanyl]-N-methylmethanamine,T,CN(C)[P+](NC1=CC=CC=C1)(N(C)C)N(C)C,-,anilino-tris(dimethylamino)phosphanium
69,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)[NH+](C)C,165535-45-5,N-[dimethylamino-ethylimino-[[tris(dimethylamino)-Œª5-phosphanylidene]amino]-Œª5-phosphanyl]-N-methylmethanamine,T,CCNP(=N[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,-,[[bis(dimethylamino)-(ethylamino)-_5-phosphanylidene]amino]-tris(dimethylamino)phosphanium
70,CC(C)(C)N=P(N=P(N(C)C)(N(C)C)N(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N=P(N(C)C)(N(C)C)[NH+](C)C,111324-04-0,N-[[tert-butylimino-bis[[tris(dimethylamino)-Œª5-phosphanylidene]amino]-Œª5-phosphanyl]imino-bis(dimethylamino)-Œª5-phosphanyl]-N-methylmethanamine,T,CC(C)(C)N[P+](N=P(N(C)C)(N(C)C)N(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N=P(N(C)C)(N(C)C)N(C)C,-,(tert-butylamino)-tris[[tris(dimethylamino)-_5-phosphanylidene]amino]phosphanium
