,Unnamed: 0,checking?,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
32,32,,73482-93-6,FC1=C(F)C(=C(C2C3=C(C=CC=C3)C4=C2C=CC=C4)C(=C1F)F)F,-,"9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene",acetonitrile,CC#N,28.11,MeCN_Acids_COSMO-RS_2008_Table.pdf
33,33,T,205-94-7,C1=CC=C2C3=C4C(C2=C1)C5=CC=CC=C5C4=CC=C3,205-94-7,fluoradene,acetonitrile,CC#N,23.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
34,34,T,3002-30-0,COC(=O)C1C2=CC=CC=C2C3=CC=CC=C13,3002-30-0,methyl 9H-fluorene-9-carboxylate,acetonitrile,CC#N,23.53,MeCN_Acids_COSMO-RS_2008_Table.pdf
35,35,T,9-Cyanofluorene,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N,1529-40-4,9H-fluorene-9-carbonitrile,acetonitrile,CC#N,21.36,MeCN_Acids_COSMO-RS_2008_Table.pdf
36,36,T,63264-80-2,C1(C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,63264-80-2,"1,2,3,4,5,6,7,8-octafluoro-9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene",acetonitrile,CC#N,18.88,MeCN_Acids_COSMO-RS_2008_Table.pdf
37,37,T,27053-34-5,C1C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F,27053-34-5,"1,2,3,4,5,6,7,8-octafluoro-9H-fluorene",acetonitrile,CC#N,24.49,MeCN_Acids_COSMO-RS_2008_Table.pdf
38,38,T,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",acetonitrile,CC#N,20.35,MeCN_Acids_COSMO-RS_2008_Table.pdf
39,39,T,2693-66-5,C1(=C(NC(=C(C1=O)F)F)F)F,2693-66-5,"2,3,5,6-tetrafluoro-1H-pyridin-4-one",acetonitrile,CC#N,15.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
40,40,T,2787-79-3,C1(=C(C(=C(C(=C1F)F)O)F)F)C(F)(F)F,2787-79-3,"2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenol",acetonitrile,CC#N,16.62,MeCN_Acids_COSMO-RS_2008_Table.pdf
41,41,T,2894-87-3,C1(=C(C(=C(C(=C1F)F)O)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,2894-87-3,"2,3,5,6-tetrafluoro-4-(2,3,4,5,6-pentafluorophenyl)phenol",acetonitrile,CC#N,18.11,MeCN_Acids_COSMO-RS_2008_Table.pdf
42,42,T,5386-30-1,C12=C(C(=C(C(=C1O)F)F)F)C(=C(C(=C2F)F)F)F,5386-30-1,"2,3,4,5,6,7,8-heptafluoronaphthalen-1-ol",acetonitrile,CC#N,19.72,MeCN_Acids_COSMO-RS_2008_Table.pdf
43,43,T,608-71-9,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,608-71-9,"2,3,4,5,6-pentabromophenol",acetonitrile,CC#N,17.83,MeCN_Acids_COSMO-RS_2008_Table.pdf
44,44,T,727-49-1,C12=C(C(=C(C(=C1F)O)F)F)C(=C(C(=C2F)F)F)F,727-49-1,"1,3,4,5,6,7,8-heptafluoronaphthalen-2-ol",acetonitrile,CC#N,18.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
45,45,T,769-39-1,C1=C(C(=C(C(=C1F)F)O)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",acetonitrile,CC#N,20.12,MeCN_Acids_COSMO-RS_2008_Table.pdf
46,46,T,771-61-9,C1(=C(C(=C(C(=C1F)F)F)F)F)O,771-61-9,"2,3,4,5,6-pentafluorophenol",acetonitrile,CC#N,20.11,MeCN_Acids_COSMO-RS_2008_Table.pdf
47,47,,87-86-5,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,87-86-5,"2,3,4,5,6-pentachlorophenol",acetonitrile,CC#N,18.02,MeCN_Acids_COSMO-RS_2008_Table.pdf
48,48,,882492-01-5,OC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride","2-hydroxybenzene-1,3,5-trisulfonyl fluoride",acetonitrile,CC#N,5.53,MeCN_Acids_COSMO-RS_2008_Table.pdf
49,49,T,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,88-75-5,2-nitrophenol,acetonitrile,CC#N,22.85,MeCN_Acids_COSMO-RS_2008_Table.pdf
50,50,T,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",acetonitrile,CC#N,16.66,MeCN_Acids_COSMO-RS_2008_Table.pdf
51,51,T,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",acetonitrile,CC#N,11.0,MeCN_Acids_COSMO-RS_2008_Table.pdf
52,52,,71571-37-4,OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,-,"2,4,6-tris(trifluoromethylsulfonyl)phenol",acetonitrile,CC#N,4.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
53,53,T,1/2/78,C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,1/2/78,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",acetonitrile,CC#N,20.55,MeCN_Acids_COSMO-RS_2008_Table.pdf
54,54,T,Acetic acid,CC(=O)O,64-19-7,acetic acid,acetonitrile,CC#N,23.51,MeCN_Acids_COSMO-RS_2008_Table.pdf
55,55,T,Benzoic acid,C1=CC=C(C=C1)C(=O)O,65-85-0,benzoic acid,acetonitrile,CC#N,21.51,MeCN_Acids_COSMO-RS_2008_Table.pdf
56,56,T,4-Methylbenzenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O,104-15-4,4-methylbenzenesulfonic acid,acetonitrile,CC#N,8.45,MeCN_Acids_COSMO-RS_2008_Table.pdf
57,57,T,4-nitro-benzenesulfonic acid,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)O,138-42-1,4-nitrobenzenesulfonic acid,acetonitrile,CC#N,6.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
58,58,T,85-47-2,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)O,85-47-2,naphthalene-1-sulfonic acid,acetonitrile,CC#N,7.89,MeCN_Acids_COSMO-RS_2008_Table.pdf
59,59,T,3-nitro-benzenesulfonic acid,C1=CC(=CC(=C1)S(=O)(=O)O)[N+](=O)[O-],98-47-5,3-nitrobenzenesulfonic acid,acetonitrile,CC#N,6.65,MeCN_Acids_COSMO-RS_2008_Table.pdf
60,60,T,4-chloro-benzenesulfonicacid,C1=CC(=CC=C1S(=O)(=O)O)Cl,98-66-8,4-chlorobenzenesulfonic acid,acetonitrile,CC#N,7.16,MeCN_Acids_COSMO-RS_2008_Table.pdf
61,61,T,343337-70-2,CC1=CC=C(C=C1)C(=O)NS(=O)(=O)C(F)(F)F,343337-70-2,4-methyl-N-(trifluoromethylsulfonyl)benzamide,acetonitrile,CC#N,11.46,MeCN_Acids_COSMO-RS_2008_Table.pdf
62,62,,39062-91-4,FC(F)(F)[S](=O)(=O)NC(=O)C1=CC=CC=C1,-,N-(trifluoromethylsulfonyl)benzamide,acetonitrile,CC#N,11.06,MeCN_Acids_COSMO-RS_2008_Table.pdf
63,63,T,39062-98-1,C1=CC(=CC=C1C(=O)NS(=O)(=O)C(F)(F)F)[N+](=O)[O-],39062-98-1,4-nitro-N-(trifluoromethylsulfonyl)benzamide,acetonitrile,CC#N,9.49,MeCN_Acids_COSMO-RS_2008_Table.pdf
64,64,,39062-99-2,FC(F)(F)[S](=O)(=O)NC(=O)C1=CC=C(Cl)C=C1,-,4-chloro-N-(trifluoromethylsulfonyl)benzamide,acetonitrile,CC#N,10.36,MeCN_Acids_COSMO-RS_2008_Table.pdf
65,65,,39063-00-8,FC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,-,4-fluoro-N-(trifluoromethylsulfonyl)benzamide,acetonitrile,CC#N,10.65,MeCN_Acids_COSMO-RS_2008_Table.pdf
66,66,,39063-05-3,COC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,-,4-methoxy-N-(trifluoromethylsulfonyl)benzamide,acetonitrile,CC#N,11.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
67,67,T,Saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,128-44-9,"1,1-dioxo-1,2-benzothiazol-3-one",acetonitrile,CC#N,14.57,MeCN_Acids_COSMO-RS_2008_Table.pdf
68,68,,100724-78-5,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O,"4-Methyl-4'-nitro[1,1'-iminobis(sulfonyl)bis(benzene)]",4-methyl-N-(4-nitrophenyl)sulfonylbenzenesulfonamide,acetonitrile,CC#N,10.04,MeCN_Acids_COSMO-RS_2008_Table.pdf
69,69,,174788-87-5,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C1=CC=CC=C1,-,N-(trifluoromethylsulfonyl)benzenesulfonamide,acetonitrile,CC#N,5.89,MeCN_Acids_COSMO-RS_2008_Table.pdf
70,70,,174788-89-7,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C1=CC=C(Cl)C=C1,-,4-chloro-N-(trifluoromethylsulfonyl)benzenesulfonamide,acetonitrile,CC#N,5.34,MeCN_Acids_COSMO-RS_2008_Table.pdf
71,71,T,174788-91-1,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,174788-91-1,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide,acetonitrile,CC#N,4.39,MeCN_Acids_COSMO-RS_2008_Table.pdf
72,72,,174788-93-3,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,-,-,acetonitrile,CC#N,5.14,MeCN_Acids_COSMO-RS_2008_Table.pdf
73,73,,174788-95-5,FC(F)(F)[S](=O)(=O)N=[S](=O)(N[S](=O)(=O)C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,-,-,acetonitrile,CC#N,4.34,MeCN_Acids_COSMO-RS_2008_Table.pdf
74,74,,174788-97-7,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,-,-,acetonitrile,CC#N,3.62,MeCN_Acids_COSMO-RS_2008_Table.pdf
75,75,,215395-06-5,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,"3-Nitro-4-chloro-4'-methyl[1,1'-iminobis(sulfonyl)bis(benzene)]",4-chloro-N-(4-methylphenyl)sulfonyl-3-nitrobenzenesulfonamide,acetonitrile,CC#N,9.71,MeCN_Acids_COSMO-RS_2008_Table.pdf
76,76,,215395-07-6,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,-,4-methyl-N-(trifluoromethylsulfonyl)benzenesulfonamide,acetonitrile,CC#N,6.17,MeCN_Acids_COSMO-RS_2008_Table.pdf
77,77,T,2618-96-4,C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=CC=C2,2618-96-4,N-(benzenesulfonyl)benzenesulfonamide,acetonitrile,CC#N,11.34,MeCN_Acids_COSMO-RS_2008_Table.pdf
78,78,T,2725-55-5,C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,2725-55-5,4-chloro-N-(4-chlorophenyl)sulfonylbenzenesulfonamide,acetonitrile,CC#N,10.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
79,79,T,3695-00-9,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)C,3695-00-9,4-methyl-N-(4-methylphenyl)sulfonylbenzenesulfonamide,acetonitrile,CC#N,11.97,MeCN_Acids_COSMO-RS_2008_Table.pdf
80,80,,7/6/09,no matches,-,-,acetonitrile,CC#N,8.19,MeCN_Acids_COSMO-RS_2008_Table.pdf
