,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
1609,(CF3)5C6CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2226486-80-0Ê,,DCE,C(CCl)Cl,47.8,leito_acids
1,32251-53-9,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",MeCN,CC#N,16.08,MeCN_Acids_COSMO-RS_2008_Table.pdf
476,(4-CF3-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",MeCN,CC#N,16.08,a_unified_view_to_bronsted_acidity_scales.pdf
513,(4-CF3-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",DMSO,CS(=O)C,3,a_unified_view_to_bronsted_acidity_scales.pdf
864,32251-53-9,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",MeCN,CC#N,16.07,Ejoc202001649-sup-00001-misc_information.pdf
1081,32251-53-9,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",DMSO,CS(=O)C,3,Ejoc202001649-sup-00001-misc_information.pdf
1107,32251-53-9,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",DCE,C(CCl)Cl,50.6,Ejoc202001649-sup-00001-misc_information.pdf
1476,(4-CF3-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",MeCN,CC#N,16.08,leito_acids
1580,(4-CF3-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,32251-53-9,"ethyl 2-cyano-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetate",DCE,C(CCl)Cl,50.6,leito_acids
474,(4-Cl-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=C(C(=C1F)F)Cl)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",MeCN,CC#N,17.39,a_unified_view_to_bronsted_acidity_scales.pdf
