,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
652,4-H-C6F4-CH(CN)2,C1=C(C(=C(C(=C1F)F)C(C#N)C#N)F)F,55810-63-4,"2-(2,3,5,6-tetrafluorophenyl)propanedinitrile",MeCN,CC#N,12.98,pKa_values_of_acids_in_acetonitrile.pdf
1490,4-H-C6F4CH(CN)2,C1=C(C(=C(C(=C1F)F)C(C#N)C#N)F)F,55810-63-4,"2-(2,3,5,6-tetrafluorophenyl)propanedinitrile",MeCN,CC#N,12.98,leito_acids
1584,4-H-C6F4CH(CN)2,C1=C(C(=C(C(=C1F)F)C(C#N)C#N)F)F,55810-63-4,"2-(2,3,5,6-tetrafluorophenyl)propanedinitrile",DCE,C(CCl)Cl,0,leito_acids
467,(4-H-C6F4)(C6F5)CHCN,C1=C(C(=C(C(=C1F)F)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F)F)F,42254-09-1,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile",MeCN,CC#N,21.11,a_unified_view_to_bronsted_acidity_scales.pdf
594,(4-H-C6F4)(C6F5)CHCN,C1=C(C(=C(C(=C1F)F)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F)F)F,42254-09-1,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile",MeCN,CC#N,21.1,pKa_values_of_acids_in_acetonitrile.pdf
1448,(4-H-C6F4)(C6F5)CHCN,C1=C(C(=C(C(=C1F)F)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F)F)F,42254-09-1,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile",MeCN,CC#N,21.11,leito_acids
1571,(4-H-C6F4)(C6F5)CHCN,C1=C(C(=C(C(=C1F)F)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F)F)F,42254-09-1,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile",DCE,C(CCl)Cl,55.7,leito_acids
45,769-39-1,C1=C(C(=C(C(=C1F)F)O)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",MeCN,CC#N,20.12,MeCN_Acids_COSMO-RS_2008_Table.pdf
603,"2,3,5,6-tetrafluoroPhenol",C1=C(C(=C(C(=C1F)F)O)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",MeCN,CC#N,20.1,pKa_values_of_acids_in_acetonitrile.pdf
833,769-39-1,C1=C(C(=C(C(=C1F)F)O)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",MeCN,CC#N,20.1,Ejoc202001649-sup-00001-misc_information.pdf
1002,769-39-1,C1=C(C(=C(C(=C1F)F)O)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",H2O,O,5.67,Ejoc202001649-sup-00001-misc_information.pdf
1454,"2,3,5,6-F4-phenol",C1=C(C(=C(C(=C1F)F)O)F)F,769-39-1,"2,3,5,6-tetrafluorophenol",MeCN,CC#N,20.12,leito_acids
1651,"2,3,4,5-tetracyanocyclopentadiene",C1=C(C(=C(C1C#N)C#N)C#N)C#N,77569-14-3,"cyclopenta-2,4-diene-1,2,3,4-tetracarbonitrile",DCE,C(CCl)Cl,29.9,leito_acids
573,"2,4,6-trinitroAniline",C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],489-98-5,"2,4,6-trinitroaniline",MeCN,CC#N,23.87,pKa_values_of_acids_in_acetonitrile.pdf
803,489-98-5,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],489-98-5,"2,4,6-trinitroaniline",MeCN,CC#N,23.87,Ejoc202001649-sup-00001-misc_information.pdf
989,489-98-5,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],489-98-5,"2,4,6-trinitroaniline",H2O,O,12.2,Ejoc202001649-sup-00001-misc_information.pdf
903,131-73-7,C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],131-73-7,"2,4,6-trinitro-N-(2,4,6-trinitrophenyl)aniline",MeCN,CC#N,10.54,Ejoc202001649-sup-00001-misc_information.pdf
1015,131-73-7,C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],131-73-7,"2,4,6-trinitro-N-(2,4,6-trinitrophenyl)aniline",H2O,O,2.63,Ejoc202001649-sup-00001-misc_information.pdf
1155,131-73-7,C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],131-73-7,"2,4,6-trinitro-N-(2,4,6-trinitrophenyl)aniline",DMF,CN(C)C=O,1.28,Ejoc202001649-sup-00001-misc_information.pdf
51,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,MeCN_Acids_COSMO-RS_2008_Table.pdf
222,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
246,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DCE,C(CCl)Cl,44.6,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
257,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DMSO,CS(=O)C,-1,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
276,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",H2O,O,0.3,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
290,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",THF,C1CCOC1,11.84,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
409,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,DCE_2011_pKa_Table_MeCN.pdf
485,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,a_unified_view_to_bronsted_acidity_scales.pdf
517,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DMSO,CS(=O)C,-1.09,a_unified_view_to_bronsted_acidity_scales.pdf
671,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,pKa_values_of_acids_in_acetonitrile.pdf
900,88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,Ejoc202001649-sup-00001-misc_information.pdf
1014,88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",H2O,O,0.4,Ejoc202001649-sup-00001-misc_information.pdf
1086,88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DMSO,CS(=O)C,-1.9,Ejoc202001649-sup-00001-misc_information.pdf
1114,88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DCE,C(CCl)Cl,45,Ejoc202001649-sup-00001-misc_information.pdf
1154,88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DMF,CN(C)C=O,1.1,Ejoc202001649-sup-00001-misc_information.pdf
1500,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",MeCN,CC#N,11,leito_acids
1585,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,"2,4,6-trinitrophenol",DCE,C(CCl)Cl,45,leito_acids
203,"4-Chloro-2,6-dinitrophenol",C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])Cl,88-87-9,"4-chloro-2,6-dinitrophenol",MeCN,CC#N,15.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
632,"4-fluoro-2,6-dinitroPhenol",C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])F,364-32-9,"4-fluoro-2,6-dinitrophenol",MeCN,CC#N,16.17,pKa_values_of_acids_in_acetonitrile.pdf
862,364-32-9,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])F,364-32-9,"4-fluoro-2,6-dinitrophenol",MeCN,CC#N,16.17,Ejoc202001649-sup-00001-misc_information.pdf
643,"2-chloro-4,6-dinitroPhenol",C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)[N+](=O)[O-],946-31-6,"2-chloro-4,6-dinitrophenol",MeCN,CC#N,14.23,pKa_values_of_acids_in_acetonitrile.pdf
873,946-31-6,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)[N+](=O)[O-],946-31-6,"2-chloro-4,6-dinitrophenol",MeCN,CC#N,14.23,Ejoc202001649-sup-00001-misc_information.pdf
1012,946-31-6,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)[N+](=O)[O-],946-31-6,"2-chloro-4,6-dinitrophenol",H2O,O,2.01,Ejoc202001649-sup-00001-misc_information.pdf
1632,"2,4,6-(NO2)3-C6H2SO2OH",C1=C(C=C(C(=C1[N+](=O)[O-])S(=O)(=O)O)[N+](=O)[O-])[N+](=O)[O-],2508-19-2,"2,4,6-trinitrobenzenesulfonic acid",DCE,C(CCl)Cl,33.6,leito_acids
38,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",MeCN,CC#N,20.35,MeCN_Acids_COSMO-RS_2008_Table.pdf
600,"2,4,6-tribromoPhenol",C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",MeCN,CC#N,20.34,pKa_values_of_acids_in_acetonitrile.pdf
830,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",MeCN,CC#N,20.34,Ejoc202001649-sup-00001-misc_information.pdf
1001,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",H2O,O,6.1,Ejoc202001649-sup-00001-misc_information.pdf
1063,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",DMSO,CS(=O)C,8.7,Ejoc202001649-sup-00001-misc_information.pdf
1452,"2,4,6-Br3-phenol",C1=C(C=C(C(=C1Br)O)Br)Br,118-79-6,"2,4,6-tribromophenol",MeCN,CC#N,20.35,leito_acids
189,"3,4,5-Trichlorophenol",C1=C(C=C(C(=C1Cl)Cl)Cl)O,609-19-8,"3,4,5-trichlorophenol",MeCN,CC#N,22.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
209,"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,88-06-2,"2,4,6-trichlorophenol",MeCN,CC#N,22.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
455,"2,4,6-Tf3-Phenol",C1=C(C=C(C(=C1S(=O)(=O)C(F)(F)F)O)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris(trifluoromethylsulfonyl)phenol",MeCN,CC#N,4.48,DCE_2011_pKa_Table_MeCN.pdf
498,"2,4,6-Tf3-Phenol",C1=C(C=C(C(=C1S(=O)(=O)C(F)(F)F)O)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris(trifluoromethylsulfonyl)phenol",MeCN,CC#N,4.48,a_unified_view_to_bronsted_acidity_scales.pdf
738,"2,4,6-Tf3Phenol",C1=C(C=C(C(=C1S(=O)(=O)C(F)(F)F)O)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris(trifluoromethylsulfonyl)phenol",MeCN,CC#N,4.44,pKa_values_of_acids_in_acetonitrile.pdf
1556,"2,4,6-SO2CF3-phenol",C1=C(C=C(C(=C1S(=O)(=O)C(F)(F)F)O)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris(trifluoromethylsulfonyl)phenol",MeCN,CC#N,4.48,leito_acids
1601,"2,4,6-SO2CF3-phenol",C1=C(C=C(C(=C1S(=O)(=O)C(F)(F)F)O)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,71571-37-4,"2,4,6-tris(trifluoromethylsulfonyl)phenol",DCE,C(CCl)Cl,38.4,leito_acids
450,"2,4,6-(SO2F)3-Phenol",C1=C(C=C(C(=C1S(=O)(=O)F)O)S(=O)(=O)F)S(=O)(=O)F,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,5.25,DCE_2011_pKa_Table_MeCN.pdf
497,"2,4,6-(SO2F)3-Phenol",C1=C(C=C(C(=C1S(=O)(=O)F)O)S(=O)(=O)F)S(=O)(=O)F,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,5.25,a_unified_view_to_bronsted_acidity_scales.pdf
730,"2,4,6-(SO2F)3-Phenol",C1=C(C=C(C(=C1S(=O)(=O)F)O)S(=O)(=O)F)S(=O)(=O)F,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,5.22,pKa_values_of_acids_in_acetonitrile.pdf
1549,"2,4,6-SO2F-phenol",C1=C(C=C(C(=C1S(=O)(=O)F)O)S(=O)(=O)F)S(=O)(=O)F,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",MeCN,CC#N,5.25,leito_acids
1597,"2,4,6-SO2F-phenol",C1=C(C=C(C(=C1S(=O)(=O)F)O)S(=O)(=O)F)S(=O)(=O)F,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",DCE,C(CCl)Cl,39,leito_acids
173,"3,5-Dinitrobenzoicacid",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,99-34-3,"3,5-dinitrobenzoic acid",MeCN,CC#N,17,MeCN_Acids_COSMO-RS_2008_Table.pdf
207,"3,5-Dinitrophenol",C1=C(C=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],586-11-8,"3,5-dinitrophenol",MeCN,CC#N,20.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
813,434957-15-0,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)CS(=O)(=O)C(F)(F)F,434957-15-0,"1,3-bis(trifluoromethyl)-5-(trifluoromethylsulfonylmethyl)benzene",MeCN,CC#N,22.84,Ejoc202001649-sup-00001-misc_information.pdf
213,"3,5-Bis(trifluoromethyl)-phenol",C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",MeCN,CC#N,23.78,MeCN_Acids_COSMO-RS_2008_Table.pdf
574,"3,5-bis(trifluoromethyl)Phenol",C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",MeCN,CC#N,23.8,pKa_values_of_acids_in_acetonitrile.pdf
804,349-58-6,C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",MeCN,CC#N,23.8,Ejoc202001649-sup-00001-misc_information.pdf
990,349-58-6,C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",H2O,O,8.03,Ejoc202001649-sup-00001-misc_information.pdf
1050,349-58-6,C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",DMSO,CS(=O)C,13.2,Ejoc202001649-sup-00001-misc_information.pdf
1436,"3,5-(CF3)2-phenol",C1=C(C=C(C=C1C(F)(F)F)O)C(F)(F)F,349-58-6,"3,5-bis(trifluoromethyl)phenol",MeCN,CC#N,23.78,leito_acids
172,"3,5-Dichlorobenzoicacid",C1=C(C=C(C=C1Cl)Cl)C(=O)O,51-36-5,"3,5-dichlorobenzoic acid",MeCN,CC#N,18.7,MeCN_Acids_COSMO-RS_2008_Table.pdf
191,"3,5-Dichlorophenol",C1=C(C=C(C=C1Cl)Cl)O,591-35-5,"3,5-dichlorophenol",MeCN,CC#N,23.3,MeCN_Acids_COSMO-RS_2008_Table.pdf
126,"1,3,7,9-Tetranitro-10H-phenoxazine",C1=C(C=C2C(=C1[N+](=O)[O-])NC3=C(C=C(C=C3O2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],24050-28-0,"1,3,7,9-tetranitro-10H-phenoxazine",MeCN,CC#N,18.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
350,Pyrimidine,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium,MeCN,CC#N,8.72,pKa_values_of_nitrogen_heterocycles.pdf
396,Pyrimidine,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium,H2O,O,1.3,pKa_values_of_nitrogen_heterocycles.pdf
1215,289-95-2,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium,H2O,O,1.3,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1276,289-95-2,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium,DMSO,CS(=O)C,0.55,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1348,289-95-2,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium,MeCN,CC#N,8.72,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
1407,289-95-2,C1=C[NH+]=CN=C1,-,pyrimidin-1-ium,THF,C1CCOC1,2.4,Bases_pKa_values_MeCN_DMSO_THF_Water.pdf
374,Uracil,C1=C[NH2+]C(=O)NC1=O,,"1H-pyrimidin-1-ium-2,4-dione",MeCN,CC#N,3.38,pKa_values_of_nitrogen_heterocycles.pdf
407,Uracil,C1=C[NH2+]C(=O)NC1=O,,"1H-pyrimidin-1-ium-2,4-dione",H2O,O,0.5,pKa_values_of_nitrogen_heterocycles.pdf
319,"2,6-diaminoPyridine",C1=CC(=[NH+]C(=C1)N)N,,"pyridin-1-ium-2,6-diamine",MeCN,CC#N,14.77,pKa_values_of_nitrogen_heterocycles.pdf
316,"2,3-diaminopyridine",C1=CC(=C([NH+]=C1)N)N,,"pyridin-1-ium-2,3-diamine",MeCN,CC#N,15.24,pKa_values_of_nitrogen_heterocycles.pdf
168,"2,6-Dinitrobenzoicacid",C1=CC(=C(C(=C1)[N+](=O)[O-])C(=O)O)[N+](=O)[O-],603-12-3,"2,6-dinitrobenzoic acid",MeCN,CC#N,15.8,MeCN_Acids_COSMO-RS_2008_Table.pdf
628,"2,6-dinitroPhenol",C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],573-56-8,"2,6-dinitrophenol",MeCN,CC#N,16.74,pKa_values_of_acids_in_acetonitrile.pdf
858,573-56-8,C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],573-56-8,"2,6-dinitrophenol",MeCN,CC#N,16.74,Ejoc202001649-sup-00001-misc_information.pdf
1008,573-56-8,C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],573-56-8,"2,6-dinitrophenol",H2O,O,3.7,Ejoc202001649-sup-00001-misc_information.pdf
1078,573-56-8,C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],573-56-8,"2,6-dinitrophenol",DMSO,CS(=O)C,4.9,Ejoc202001649-sup-00001-misc_information.pdf
1150,573-56-8,C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],573-56-8,"2,6-dinitrophenol",DMF,CN(C)C=O,6.18,Ejoc202001649-sup-00001-misc_information.pdf
167,"2,6-Dichlorobenzoicacid",C1=CC(=C(C(=C1)Cl)C(=O)O)Cl,50-30-6,"2,6-dichlorobenzoic acid",MeCN,CC#N,17.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
119,"2,6-Dihydroxybenzoicacid",C1=CC(=C(C(=C1)O)C(=O)O)O,303-07-1,"2,6-dihydroxybenzoic acid",MeCN,CC#N,12.6,MeCN_Acids_COSMO-RS_2008_Table.pdf
165,"2,4-Dinitrobenzoicacid",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,610-30-0,"2,4-dinitrobenzoic acid",MeCN,CC#N,16.1,MeCN_Acids_COSMO-RS_2008_Table.pdf
50,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",MeCN,CC#N,16.66,MeCN_Acids_COSMO-RS_2008_Table.pdf
230,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",MeCN,CC#N,16.66,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
262,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",DMSO,CS(=O)C,5.4,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
278,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",H2O,O,4.1,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
291,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",THF,C1CCOC1,16.94,pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf
629,"2,4-dinitroPhenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",MeCN,CC#N,16.65,pKa_values_of_acids_in_acetonitrile.pdf
859,51-28-5,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",MeCN,CC#N,16.65,Ejoc202001649-sup-00001-misc_information.pdf
1009,51-28-5,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",H2O,O,4.1,Ejoc202001649-sup-00001-misc_information.pdf
1079,51-28-5,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",DMSO,CS(=O)C,5.1,Ejoc202001649-sup-00001-misc_information.pdf
1151,51-28-5,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",DMF,CN(C)C=O,6.33,Ejoc202001649-sup-00001-misc_information.pdf
1472,"2,4-(NO2)2-phenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,51-28-5,"2,4-dinitrophenol",MeCN,CC#N,16.66,leito_acids
459,"2,4-(NO2)2-C6H3SO3H",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O,89-02-1,"2,4-dinitrobenzenesulfonic acid",MeCN,CC#N,3.99,DCE_2011_pKa_Table_MeCN.pdf
971,89-02-1,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O,89-02-1,"2,4-dinitrobenzenesulfonic acid",MeCN,CC#N,3.96,Ejoc202001649-sup-00001-misc_information.pdf
1134,89-02-1,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O,89-02-1,"2,4-dinitrobenzenesulfonic acid",DCE,C(CCl)Cl,36,Ejoc202001649-sup-00001-misc_information.pdf
1560,"2,4-(NO2)2-C6H3SO3H",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O,89-02-1,"2,4-dinitrobenzenesulfonic acid",MeCN,CC#N,3.99,leito_acids
1605,"2,4-(NO2)2-C6H3SO3H",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O,89-02-1,"2,4-dinitrobenzenesulfonic acid",DCE,C(CCl)Cl,36,leito_acids
373,2-chloro-4-nitroaniline,C1=CC(=C(C=C1[N+](=O)[O-])Cl)[NH3+],-,(2-chloro-4-nitrophenyl)azanium,MeCN,CC#N,3.66,pKa_values_of_nitrogen_heterocycles.pdf
356,4-fluoro-3-nitroAniline,C1=CC(=C(C=C1[NH3+])[N+](=O)[O-])F,,(4-fluoro-3-nitrophenyl)azanium,MeCN,CC#N,7.67,pKa_values_of_nitrogen_heterocycles.pdf
176,4-Chloro-3-nitrobenzoicacid,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])Cl,96-99-1,4-chloro-3-nitrobenzoic acid,MeCN,CC#N,18.5,MeCN_Acids_COSMO-RS_2008_Table.pdf
170,"3,4-Dichlorobenzoicacid",C1=CC(=C(C=C1C(=O)O)Cl)Cl,51-44-5,"3,4-dichlorobenzoic acid",MeCN,CC#N,19,MeCN_Acids_COSMO-RS_2008_Table.pdf
372,4-chloro-2-nitroAniline,C1=CC(=C(C=C1Cl)[N+](=O)[O-])[NH3+],,(4-chloro-2-nitrophenyl)azanium,MeCN,CC#N,3.8,pKa_values_of_nitrogen_heterocycles.pdf
366,"2,5-dichloroaniline",C1=CC(=C(C=C1Cl)[NH3+])Cl,,"(2,5-dichlorophenyl)azanium",MeCN,CC#N,6.21,pKa_values_of_nitrogen_heterocycles.pdf
368,"2,5-dichloroaniline",C1=CC(=C(C=C1Cl)[NH3+])Cl,,"(2,5-dichlorophenyl)azanium",MeCN,CC#N,5.06,pKa_values_of_nitrogen_heterocycles.pdf
164,"2,4-Dichlorobenzoicacid",C1=CC(=C(C=C1Cl)Cl)C(=O)O,50-84-0,"2,4-dichlorobenzoic acid",MeCN,CC#N,18.4,MeCN_Acids_COSMO-RS_2008_Table.pdf
166,"2,5-Dichlorobenzenesulfonicacid",C1=CC(=C(C=C1Cl)S(=O)(=O)O)Cl,88-42-6,"2,5-dichlorobenzenesulfonic acid",MeCN,CC#N,6.2,MeCN_Acids_COSMO-RS_2008_Table.pdf
