,name,smiles,cas,iupac,new smiles
205,FSO2OH,O[S](F)(=O)=O,7789-21-1,sulfurofluoridic acid,OS(=O)(=O)F
206,3-CF3-C6H4-TCNP,FC(F)(F)C1=CC(=CC=C1)C(C(C#N)C#N)=C(C#N)C#N,2226486-85-5 ,-,no matches
207,H-TCNP,N#CC(C=C(C#N)C#N)C#N,32019-26-4,"prop-1-ene-1,1,3,3-tetracarbonitrile",C(=C(C#N)C#N)C(C#N)C#N
208,[C6H5SO(=NTf)]2NH,FC(F)(F)[S](=O)(=O)N=[S](=O)(N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C1=CC=CC=C1)C2=CC=CC=C2,771460-54-9,"1,1,1-trifluoro-N-[oxo-phenyl-[[S-phenyl-N-(trifluoromethylsulfonyl)sulfonimidoyl]amino]-λ6-sulfanylidene]methanesulfonamide",C1=CC=C(C=C1)S(=NS(=O)(=O)C(F)(F)F)(=O)NS(=NS(=O)(=O)C(F)(F)F)(=O)C2=CC=CC=C2
209,[(C2F5)2PO]2NH,FC(F)(F)C(F)(F)[P](=O)(N[P](=O)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,916079-45-3,"1-[[bis(1,1,2,2,2-pentafluoroethyl)phosphorylamino]-(1,1,2,2,2-pentafluoroethyl)phosphoryl]-1,1,2,2,2-pentafluoroethane",C(C(F)(F)P(=O)(C(C(F)(F)F)(F)F)NP(=O)(C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F)(F)(F)F
210,"2,4,6-(NO2)3-C6H2SO2OH",O[S](=O)(=O)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,2508-19-2,"2,4,6-trinitrobenzenesulfonic acid",C1=C(C=C(C(=C1[N+](=O)[O-])S(=O)(=O)O)[N+](=O)[O-])[N+](=O)[O-]
211,[C(CN)2=C(CN)]2CH2,N#CC(CC(C#N)=C(C#N)C#N)=C(C#N)C#N,1261286-78-5,-,no matches
212,triflic acid,O[S](=O)(=O)C(F)(F)F,1493-13-6,trifluoromethanesulfonic acid,C(F)(F)(F)S(=O)(=O)O
213,TfCH(CN)2,FC(F)(F)[S](=O)(=O)C(C#N)C#N,278796-64-8,2-(trifluoromethylsulfonyl)propanedinitrile,C(#N)C(C#N)S(=O)(=O)C(F)(F)F
214,Br-TCNP,BrC(C(C#N)C#N)=C(C#N)C#N,100125-09-5,"2-bromoprop-1-ene-1,1,3,3-tetracarbonitrile",C(#N)C(C#N)C(=C(C#N)C#N)Br
215,[C(CN)2=C(CN)]2NH,N#CC(NC(C#N)=C(C#N)C#N)=C(C#N)C#N,2284-24-4,"2-(1,2,2-tricyanoethenylamino)ethene-1,1,2-tricarbonitrile",C(#N)C(=C(C#N)NC(=C(C#N)C#N)C#N)C#N
216,"3,5-(CF3)5-C6H3-TCNP",FC(F)(F)C1=CC(=CC(=C1)C(C(C#N)C#N)=C(C#N)C#N)C(F)(F)F,1261286-79-6,-,no matches
217,Tf2NH f,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,82113-65-3,"1,1,1-trifluoro-N-(trifluoromethylsulfonyl)methanesulfonamide",C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F
218,Cl-TCNP,ClC(C(C#N)C#N)=C(C#N)C#N,1261286-80-9,"2-chloroprop-1-ene-1,1,3,3-tetracarbonitrile",C(#N)C(C#N)C(=C(C#N)C#N)Cl
219,(C3F7SO2)2NH,FC(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,152894-12-7,"1,1,2,2,3,3,3-heptafluoro-N-(1,1,2,2,3,3,3-heptafluoropropylsulfonyl)propane-1-sulfonamide",C(C(F)(F)F)(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)(F)F
220,(C4F9SO2)2NH,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,39847-39-7,"1,1,2,2,3,3,4,4,4-nonafluoro-N-(1,1,2,2,3,3,4,4,4-nonafluorobutylsulfonyl)butane-1-sulfonamide",C(C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F
221,CN-CH2-TCNP,N#CCC(C(C#N)C#N)=C(C#N)C#N,2638-14-4,"2-(cyanomethyl)prop-1-ene-1,1,3,3-tetracarbonitrile",C(C#N)C(=C(C#N)C#N)C(C#N)C#N
222,(C2F5SO2)2NH,FC(F)(F)C(F)(F)[S](=O)(=O)N[S](=O)(=O)C(F)(F)C(F)(F)F,152894-10-5,"1,1,2,2,2-pentafluoro-N-(1,1,2,2,2-pentafluoroethylsulfonyl)ethanesulfonamide",C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F
223,CF3-TCNP,FC(F)(F)C(C(C#N)C#N)=C(C#N)C#N,1261286-81-0,-,no matches
224,HClO4,O[Cl](=O)(=O)=O,7601-90-3,perchloric acid,OCl(=O)(=O)=O
225,CF2(CF2SO2)2NH,FC1(F)C(F)(F)[S](=O)(=O)N[S](=O)(=O)C1(F)F,84246-29-7,"4,4,5,5,6,6-hexafluoro-1,3,2-dithiazinane 1,1,3,3-tetraoxide",C1(C(S(=O)(=O)NS(=O)(=O)C1(F)F)(F)F)(F)F
226,HB(CN)4,[H+].N#C[B-](C#N)(C#N)C#N,623575-99-5,-,no matches
227,(FSO2)3CH,F[S](=O)(=O)C([S](F)(=O)=O)[S](F)(=O)=O,75533-68-5,methanetrisulfonyl fluoride,C(S(=O)(=O)F)(S(=O)(=O)F)S(=O)(=O)F
228,Tf2CH(CN),FC(F)(F)[S](=O)(=O)C(C#N)[S](=O)(=O)C(F)(F)F,174191-48-1,-,no matches
229,"2,3,4,5-tetracyanocyclopentadiene",N#CC1C=C(C#N)C(=C1C#N)C#N,77569-14-3,"cyclopenta-2,4-diene-1,2,3,4-tetracarbonitrile",C1=C(C(=C(C1C#N)C#N)C#N)C#N
230,CN-TCNP,N#CC(C#N)C(C#N)=C(C#N)C#N,45078-17-9,"prop-1-ene-1,1,2,3,3-pentacarbonitrile",C(#N)C(C#N)C(=C(C#N)C#N)C#N
