Name Type,CAS,Formula,MeCN,Water,DMSO,DCE,DMF
9-C6F5-Octafluorofluorene,63264-80-2,C19HF13,18.87,,,53.8,
2-C10F7-OH,727-49-1,C10HF7O,18.5,,7.9[44],,
"[4-(Ph3B)-2,6-Mes2-Pyridine]H",2249843-76-1,C41H40BN,18.45,,,,
(4-NC5F4)(4-CF3-C6F4)NH,92916-62-6,C12HF11N2,18.25,,,,
(4-CF3-C6F4)(C6F5)CHCN,42238-35-7,C15HF12N,18.13,,4.9[15],52.3,
"4-C6F5-2,3,5,6-F4-Phenol",2894-87-3,C12HF9O,18.1,,,,
Br4-CF3-CAC-benzoic acid,2408902-96-3,C16H13Br4F3N2O4,18.1,,,,
4-H-C6F4-CH(CN)COOEt,55852-22-7,C11H7F4NO2,18.07,,4.9[15],,
"2,3,4,5,6-Cl5-Phenol",87-86-5,C6HCl5O,18,4.74[23],7.18[42],,7.97
"2,3,4,5,6-Br5-Phenol",608-71-9,C6HBr5O,17.81,4.82[46],,,
C6F5-CH(CN)COOEt CH,2340-87-6,C11H6F5NO2,17.73,5.89[40],5.1[41],52.5,
4-Me-C6H4-CH(CN)2  CH,33534-88-2,C10H8N2,17.57,,4.85[47],,
2-C10F7-CH(CN)COOEt CH,62325-34-2,C15H6F7NO2,17.48,,,52,
4-Cl-C6F4-CH(CN)COOEt CH,55810-56-5,C11H6ClF4NO2,17.38,,4.5[15],52.2,
(4-NC5F4)2NH NH,35622-48-1,C10HF8N3,17.2,,5.8[19],,
Br4-CX-benzoic acid OH,Published in ref [48],C14H11Br4O4,17.19,,,,
"2-Me-4,6-(NO2)2-Phenol OH",534-52-1,C7H6N2O5,16.97,4.35[49],4.59[30],,
"2,6-(NO2)2-Phenol OH",573-56-8,C6H4N2O5,16.74,3.7[49],4.9[4],,6.18
"2,4-(NO2)2-Phenol OH",51-28-5,C6H4N2O5,16.65,4.1[23],5.1[4],,6.33
"4-CF3-2,3,5,6-F4-Phenol OH",2787-79-3,C7HF7O,16.6,,,,
(4-NC5F4)(C F )CHCN 3.3[15]6 5 CH,62325-51-3,C13HF9N2,16.39,,,50.5,
"4-F-2,6-(NO2)2-Phenol OH",364-32-9,C6H3FN2O5,16.17,,,,
(4-CF -C F 3 6 4)2CHCN CH,58432-55-6,C16HF14N,16.12,4.4 [40],3.3 [15],,
4-CF3-C6F4-CH(CN)COOEt CH,32251-53-9,C12H6F7NO2,16.07,,3.0[15],50.6,
(4-NC5F4)(2-C10F7)CHCN CH,62325-37-5,C17HF11N2,16.01,,,,
4-NO2-C6H4-SO2-NH-CO-C6H4-4-Me NH,854631-03-1,C14H12N2O5S,15.68,,,,
4-NC5F4-OH OH,2693-66-5,C5HF4NO,15.39,,,,
4-NC5F4-CH(CN)COOEt CH,55810-61-2,C10H6F4N2O2,14.89,,3.2[15],49.4,
3-CF3-C6H4-CH(CN)2 CH,99726-60-0,C10H5F3N2,14.7,,,49,
Saccharin NH,81-07-2,C7H5NO3S,14.57,1.8[50],4.0[4],,
3-NO2-C6H4-SO2-NH-CO-C6H4-3-Cl NH,1378040-90-4,C13H9ClN2O5S,14.55,,,,
4-NO2-C6H4-SO2-NH-CO-C6H4-3-Cl NH,,C13H9ClN2O5S,14.43,,,,
"2-Cl-4,6-(NO2)2-Phenol OH",946-31-6,C6H3ClN2O5,14.23,2.01[49],,,
[9-Phenanthrene]-BPA-[H8] OH,934201-93-1,C48H37O4P,13.97,,,,
