SMILES,JCHEM_PKA
ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,13.10476993
ClCCNC(=O)N(CCCl)N=O,19.05994953
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,15.76757975
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,11.96602456
CCN(C(=O)C=CC)C1=CC=CC=C1C,14.52115198
OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,11.74150632
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,12.14833644
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,14.03237488
COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,14.81327127
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,12.49522581
CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,14.51395676
NCCC1=CC=NN1,9.259875583
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,13.907879
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,10.09922713
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,16.52985925
COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,3.159095321
CN1C2=C(NC=N2)C(=O)N(C)C1=O,14.64933805
C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2,14.67867232
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,14.64255089
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,13.47994673
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,12.27546015
NCCC(O)(P(O)(O)=O)P(O)(O)=O,11.02035317
CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,13.58775003
[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O,11.45187646
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,17.3027433
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,16.39232084
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O,7.426761077
CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,13.1939661
C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,4.395693087
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,11.7507864
CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,15.62756177
CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,14.97242373
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],11.72914704
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,14.60366853
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,16.43179892
CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,12.70598939
CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,15.21184443
NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,9.552212517
[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,13.64233154
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O,19.57023532
NC[C@H]1CC[C@@H](CC1)C(O)=O,14.10064559
[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,14.02165207
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],10.38160818
