mol,pka
4−Cl−C6H4−SO2−NH−Tos,11.1
C6H5−CO−NH−Tf,11.07
Picric acid,11.0
5−NO2−Barbituric acid,10.72
4−F−C6H4−CO−NH−Tf,10.65
"(2,4,6−(NO2)3−C6H2)2NH",10.54
Tos2NH,11.97
Ph−SO2−NH−SO2−Me,11.89
"RS−3,5−(CF3)2−Ph−CXCC−Br4−benzoic acid",11.8
4−NO2−C6H4−CH(CN)2,11.61
4−MeO−C6H4−CO−NH−Tf,11.6
C6F5−NH−Tf,11.48
4−Me−C6H4−CO−NH−Tf,11.46
(C6H5−SO2)2NH,11.35
4−MeO−C6H4−SO2−NH−SO2−C6H4−4−Cl,11.29
C6F5−NH−SO2−C4F9,11.25
C6F5−NH−SO2−C8F17,11.19
4−Cl−C6H4−SO2−NH−Tos,11.1
C6H5−CO−NH−Tf,11.07
Picric acid,11.0
5−NO2−Barbituric acid,10.72
4−F−C6H4−CO−NH−Tf,10.65
"(2,4,6−(NO2)3−C6H2)2NH",10.54
"2,3,4,5,6−(CF3)5−Phenol",10.46
"2,3,4,6−(CF3)4−C6H−CH(CN)2",10.42
4−Cl−C6H4−CO−NH−Tf,10.35
HCl,10.3
4−MeO−C6H4−SO2−NH−SO2−C6H4−4−NO2,10.29
(4−Cl−C6H4−SO2)2NH,10.2
4−MeO−C6H4−CO−NH−Tf,11.6
C6F5−NH−Tf,11.48
4−Me−C6H4−CO−NH−Tf,11.46
(C6H5−SO2)2NH,11.35
4−MeO−C6H4−SO2−NH−SO2−C6H4−4−Cl,11.29
C6F5−NH−SO2−C4F9,11.25
C6F5−NH−SO2−C8F17,11.19
4−Cl−C6H4−SO2−NH−Tos,11.1
C6H5−CO−NH−Tf,11.07
Picric acid,11.0
5−NO2−Barbituric acid,10.72
4−F−C6H4−CO−NH−Tf,10.65
"(2,4,6−(NO2)3−C6H2)2NH",10.54
"2,3,4,5,6−(CF3)5−Phenol",10.46
"2,3,4,6−(CF3)4−C6H−CH(CN)2",10.42
4−Cl−C6H4−CO−NH−Tf,10.35
HCl,10.3
4−MeO−C6H4−SO2−NH−SO2−C6H4−4−NO2,10.29
(4−Cl−C6H4−SO2)2NH,10.2
4−CF3−C6F4−CH(CN)2,10.19
"2,3,4,5,6−(CF3)5−Thiophenol",10.12
3−NO2−C6H4−SO2−NH−Tos,10.07
4−NO2−C6H4−SO2−NH−Tos,10.04
Me−SO3H,9.97
4−Cl−3−NO2−C6H3−SO2−NH−Tos,9.68
"2,4−(NO2)2−C6H3−CH(CN)2",9.58
3 2,4.0
4−NO2−C6H4−CH(CN)2,11.61
4−MeO−C6H4−CO−NH−Tf,11.6
C6F5−NH−Tf,11.48
4−Me−C6H4−CO−NH−Tf,11.46
(C6H5−SO2)2NH,11.35
C6F5−NH−SO2−C4F9,11.25
C6F5−NH−SO2−C8F17,11.19
4−Cl−C6H4−SO2−NH−Tos,11.1
C6H5−CO−NH−Tf,11.07
Picric acid,11.0
5−NO2−Barbituric acid,10.72
4−F−C6H4−CO−NH−Tf,10.65
"(2,4,6−(NO2)3−C6H2)2NH",10.54
"2,3,4,5,6−(CF3)5−Phenol",10.46
"2,3,4,6−(CF3)4−C6H−CH(CN)2",10.42
4−Cl−C6H4−CO−NH−Tf,10.35
HCl,10.3
(4−Cl−C6H4−SO2)2NH,10.2
4−CF3−C6F4−CH(CN)2,10.19
"2,3,4,5,6−(CF3)5−Thiophenol",10.12
3−NO2−C6H4−SO2−NH−Tos,10.07
4−NO2−C6H4−SO2−NH−Tos,10.04
Me−SO3H,9.97
"2,3,4,6−(CF3)4−C6H−CH(CN)2",10.42
4−Cl−C6H4−CO−NH−Tf,10.35
HCl,10.3
4−MeO−C6H4−SO2−NH−SO2−C6H4−4−NO2,10.29
(4−Cl−C6H4−SO2)2NH,10.2
4−CF3−C6F4−CH(CN)2,10.19
"2,3,4,5,6−(CF3)5−Thiophenol",10.12
3−NO2−C6H4−SO2−NH−Tos,10.07
4−NO2−C6H4−SO2−NH−Tos,10.04
Me−SO3H,9.97
4−Cl−3−NO2−C6H3−SO2−NH−Tos,9.68
"2,4−(NO2)2−C6H3−CH(CN)2",9.58
4−NO2−C6H4−CO−NH−Tf,9.49
4−NO2−C6H4−SO2−NH−SO2−C6H4−4−Cl,9.17
"2,3,4,5,6−(CF3)5−C6−CH(CN)2",8.88
"[2,3,4,5,6−(CF3)5−C6]2NH",8.76
4−Cl−3−NO2−C6H3−SO2−NH−SO2−C6H4−4−Cl,8.75
TosOH,8.5
Ph−SO3H,8.2
(3−NO2−C6H4−SO2)2NH,8.16
(4−NO2−C6H4−SO2)2NH,8.15
"2,4,6−(SO2OCH2CF2CF2H)3−Phenol",8.14
"2,4,6−(SO2OCH2CF3)3−Phenol",7.94
1−C10H7−SO3H,7.9
3−NO2−C6H4−SO2−NH−SO2−C6H3−3−NO2−4−Cl,7.84
4−NO2−C6H4−SO2−NH−SO2−C6H3−3−NO2−4−Cl,7.82
C6H5−CHTf2,7.73
H2SO4,7.6
C6F5−SO2−NH−SO2−C6H4−4−Cl,7.55
(4−Cl−3−NO2−C6H3−SO2)2NH,7.47
Me−TCNP,7.36
4−Cl−C6H4−SO3H,7.0
[4−MeO−C6H4][CF3]−NTPA−[H8],6.83
[Ph][C8F17]−NTPA−[H8],6.69
[Ph][CF3]−NTPA−[H8],6.68
C6F5−SO2−NH−SO2−C6H4−3−NO2,6.68
[Ph][C4F9]−NTPA−[H8],6.65
C6F5−SO2−NH−SO2−C6H4−4−NO2,6.6
3−NO2−C6H4−SO3H,6.4
[4−MeO−C6H4][CF3]−NTPA,6.35
[Ph][CF3]−NTPA,6.33
4−NO2−C6H4−SO3H,6.3
[4−F−C6H4][CF3]−NTPA−[H8],6.22
3−NO2−C6H4−SO2−CH(CN)2,6.16
C6F5−SO2−NH−SO2−C6H3−3−NO2−4Cl,6.16
4−MeO−C6H4−C(=NTf)−NH−Tf,6.05
4−NO2−C6H4−SO2−CH(CN)2,6.01
Tos−NH−Tf,5.82
4−Me−C6H4−C(=NTf)−NH−Tf,5.82
C6H5−C(=NTf)−NH−Tf,5.68
H−TCNP,5.64
C6H5−SO2−NH−Tf,5.52
HBr,5.4
4−F−C6H4−C(=NTf)−NH−Tf,5.29
"2,4,6−(SO2F)3−Phenol",5.22
4−Cl−C6H4−C(=NTf)−NH−Tf,5.2
(C6F5−SO2)2NH,5.08
CH(CN)3,5.0
4−Cl−C6H4−SO2−NH−Tf,4.98
"[3,5−(CF3)2−C6H3]−JINGLE",4.97
4−Cl−C6H4−SO(=NTf)−NH−Tos,4.78
4−NO2−C6H4−C(=NTf)−NH−Tf,4.63
[4−MeO−C6H4][CF3]−NTPA,6.35
[Ph][CF3]−NTPA,6.33
4−NO2−C6H4−SO3H,6.3
[4−F−C6H4][CF3]−NTPA−[H8],6.22
3−NO2−C6H4−SO2−CH(CN)2,6.16
C6F5−SO2−NH−SO2−C6H3−3−NO2−4Cl,6.16
