,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
100,O=C([O-])C12CCC(O)(CC1)CC2,0,0,0,6.33,['6.33'],0
101,O=C([O-])C12CCC(CC1)CC2,0,0,0,6.75,['6.75'],0
102,O=C([O-])CN=C1CCCC1,0,0,0,8.72,['8.72'],0
103,O=C([O-])CN=C1CCCCC1,0,0,0,9.48,['9.48'],0
104,NC(=N[N+](=O)[O-])NN=C1CCCCC1,0,0,0,8.80,['8.80'],0
105,N#CC1CCCCC1C(=O)[O-],0,0,0,3.86,['3.86'],0
106,O=C([O-])C1CCCCC1O,0,0,0,4.74,['4.74'],0
107,[NH3+]C1CCCCC1Cl,0,0,0,9.49,['9.49'],0
108,[NH3+]C1CCCCCC1O,0,0,0,9.25,['9.25'],0
109,O=NN(CCCl)C(=O)NC(C(=O)[O-])C1CCCC1,0,0,0,4.04,['4.04'],0
110,O=C([O-])COC1CCCC1,0,0,0,3.70,['3.70'],0
111,O=C([O-])C1C=CCCCC1,0,0,0,4.58,['4.58'],0
112,N#CC(C(=O)[O-])C1CCCCC1,0,0,0,2.37,['2.37'],0
113,O=NN(CCCl)C(=O)NC(C(=O)[O-])C1CCCCC1,0,0,0,3.57,['3.57'],0
114,C1CCC(C23CCC[NH+]2CCO3)CC1,0,0,0,10.29,['10.29'],0
115,C1=C(C2CCCCC2)[NH2+]CC1,0,0,0,7.91,['7.91'],0
116,O=C([O-])C1CCCCC1C1CCCCC1,0,0,0,6.53,['6.53'],0
117,C1CCC(C2CCC[NH2+]2)CC1,0,0,0,10.67,['10.67'],0
118,O=C([O-])CCC1CCCCC1,0,0,0,4.91,['4.91'],0
119,O=C([O-])CCCC1CCCCC1,0,0,0,4.95,['4.95'],0
120,O=C([O-])COCC1CCCCC1,0,0,0,3.90,['3.90'],0
121,C1CCC(Cc2nnn[n-]2)CC1,0,0,0,5.37,['5.37'],0
122,O=C([O-])COC1CCCCC1,0,0,0,3.54,['3.54'],0
123,O=C([O-])CSC1CCCCC1,0,0,0,4.49,['4.49'],0
124,O=C1NC(=S)NC12CCCCC2,0,0,0,8.79,['8.79'],0
125,C1CCC2=[NH+]CCCN2CC1,0,0,0,14.30,['14.30'],0
126,O=C([O-])COC1CCC2CCCCC2C1,0,0,0,3.64,['3.64'],0
