,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
158,C=C(CC(=O)c1ccc(-c2ccccc2Cl)cc1)C(=O)[O-],O,0,0,5.3,['5.30'],['pKa_prospector']
159,C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(O)cc12,O,0,0,7.63,['7.63'],['pKa_prospector']
160,C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,O,0,0,7.8,['7.80'],['pKa_prospector']
161,C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,O,0,0,7.7,['7.70'],['pKa_prospector']
162,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,O,0,0,7.72,['7.72'],['pKa_prospector']
163,C=CCC1(CC=C)SC(=O)[N-]C1=O,O,0,0,6.14,['6.14'],['pKa_prospector']
164,C=CCC1SC(=[NH+]O)NC1=O,O,0,0,11.85,['11.85'],['pKa_prospector']
165,C=CCCCCCCCCC(=O)[O-],O,0,0,5.19,['5.19'],['pKa_prospector']
166,C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,0,0,11.2,['11.20'],['pKa_prospector']
167,C=CC[NH+](CC=C)CC=C,O,0,0,8.31,['8.31'],['pKa_prospector']
168,C=CCN(CC=C)S(=O)(=O)c1ccc(-c2ccccc2C(=O)[O-])cc1,O,0,0,3.69,['3.69'],['pKa_prospector']
169,C=CC[NH+](CC=C)CCC(C(N)=O)(c1ccccc1)c1ccccn1,O,0,0,8.11,['8.11'],['pKa_prospector']
170,C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,0,0,10.7,['10.70'],['pKa_prospector']
171,C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,O,0,0,10.42,['10.42'],['pKa_prospector']
172,C=CC[NH+]1CCC23CCCCC2C1Cc1ccc(O)cc13,O,0,0,8.5,['8.50'],['pKa_prospector']
173,C=CC[NH+]1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,O,0,0,7.88,['7.88'],['pKa_prospector']
174,C=CC[NH+]1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,O,0,0,7.7,['7.70'],['pKa_prospector']
